"Title","Relased_Year","Genre ","IMDB_Rating"
"Guardians Of The Galaxyâ ","2014","Action|Adventure|Sci-Fi","8.1"
"Dances With Wolvesâ ","1990","Adventure|Drama|Western","8"
"Harry Potter And The Chamber Of Secretsâ ","2002","Adventure|Family|Fantasy|Mystery","7.4"
"Toy Storyâ ","1995","Adventure|Animation|Comedy|Family|Fantasy","8.3"
"Top Gunâ ","1986","Action|Drama|Romance","6.9"
"Bruce Almightyâ ","2003","Comedy|Drama","6.7"
"Shrek The Thirdâ ","2007","Adventure|Animation|Comedy|Family|Fantasy","6.1"
"Men In Blackâ ","1997","Adventure|Comedy|Family|Mystery|Sci-Fi","7.3"
"Furious 7Â ","2015","Action|Crime|Thriller","7.2"
"Transformers: Dark Of The Moonâ ","2011","Action|Adventure|Sci-Fi","6.3"
"Alvin And The Chipmunksâ ","2007","Animation|Comedy|Family|Fantasy|Music","5.2"
"Captain America: Civil Warâ ","2016","Action|Adventure|Sci-Fi","8.2"
"3 Men And A Babyâ ","1987","Comedy|Drama|Family","5.9"
"The Lost World: Jurassic Parkâ ","1997","Action|Adventure|Sci-Fi","6.5"
"Signsâ ","2002","Drama|Sci-Fi|Thriller","6.7"
"Toy Story 2Â ","1999","Adventure|Animation|Comedy|Family|Fantasy","7.9"
"Home Alone 2: Lost In New Yorkâ ","1992","Adventure|Comedy|Family","6.6"
"Tootsieâ ","1982","Comedy|Drama|Romance","7.4"
"The Sound Of Musicâ ","1965","Biography|Drama|Family|Musical|Romance","8"
"Twilightâ ","2008","Drama|Fantasy|Romance","5.2"
"Twilightâ ","2008","Drama|Fantasy|Romance","5.2"
"Pitch Perfect 2Â ","2015","Comedy|Music","6.5"
"The Stingâ ","1973","Comedy|Crime|Drama","8.3"
"There'S Something About Maryâ ","1998","Comedy|Romance","7.1"
"Indiana Jones And The Temple Of Doomâ ","1984","Action|Adventure","7.6"
"Austin Powers In Goldmemberâ ","2002","Action|Comedy|Crime","6.2"
"Twisterâ ","1996","Action|Adventure|Drama|Thriller","6.3"
"Indiana Jones And The Last Crusadeâ ","1989","Action|Adventure|Fantasy","8.3"
"Rain Manâ ","1988","Drama","8"
"Saving Private Ryanâ ","1998","Action|Drama|War","8.6"
"300Â ","2006","Action|Drama|Fantasy|War","7.7"
"The Helpâ ","2011","Drama","8.1"
"Alvin And The Chipmunks: The Squeakquelâ ","2009","Animation|Comedy|Family|Fantasy|Music","4.5"
"Cast Awayâ ","2000","Adventure|Drama|Romance","7.7"
"Fatal Attractionâ ","1987","Drama|Romance|Thriller","6.9"
"Harry Potter And The Order Of The Phoenixâ ","2007","Adventure|Family|Fantasy|Mystery","7.5"
"22 Jump Streetâ ","2014","Action|Comedy|Crime","7.1"
"The Waterboyâ ","1998","Comedy|Sport","6.1"
"Night At The Museumâ ","2006","Action|Adventure|Comedy|Family|Fantasy","6.4"
"The Blair Witch Projectâ ","1999","Horror","6.4"
"Elfâ ","2003","Comedy|Family|Fantasy|Romance","6.9"
"Harry Potter And The Goblet Of Fireâ ","2005","Adventure|Family|Fantasy|Mystery","7.6"
"The Fugitiveâ ","1993","Action|Adventure|Crime|Drama|Mystery|Thriller","7.8"
"Animal Houseâ ","1978","Comedy","7.6"
"Gremlinsâ ","1984","Comedy|Fantasy|Horror","7.2"
"How The Grinch Stole Christmasâ ","2000","Comedy|Family|Fantasy","6"
"Bridesmaidsâ ","2011","Comedy|Romance","6.8"
"Liar Liarâ ","1997","Comedy|Fantasy|Romance","6.8"
"Rush Hour 2Â ","2001","Action|Comedy|Crime|Thriller","6.6"
"Junoâ ","2007","Comedy|Drama|Romance","7.5"
"Junoâ ","2007","Comedy|Drama|Romance","7.5"
"Alice In Wonderlandâ ","2010","Adventure|Family|Fantasy","6.5"
"Alice In Wonderlandâ ","2010","Adventure|Family|Fantasy","6.5"
"True Gritâ ","2010","Adventure|Drama|Western","7.7"
"Straight Outta Comptonâ ","2015","Biography|Crime|Drama|History|Music","7.9"
"Inceptionâ ","2010","Action|Adventure|Sci-Fi|Thriller","8.8"
"Neighborsâ ","2014","Comedy","6.4"
"Indiana Jones And The Kingdom Of The Crystal Skullâ ","2008","Action|Adventure|Fantasy","6.2"
"Platoonâ ","1986","Drama|War","8.1"
"The Matrix Reloadedâ ","2003","Action|Sci-Fi","7.2"
"Big Daddyâ ","1999","Comedy|Drama","6.4"
"The Godfatherâ ","1972","Crime|Drama","9.2"
"Good Will Huntingâ ","1997","Drama","8.3"
"Slumdog Millionaireâ ","2008","Drama|Romance","8"
"Fifty Shades Of Greyâ ","2015","Drama|Romance","4.1"
"Chicagoâ ","2002","Comedy|Crime|Musical","7.2"
"Beverly Hills Cop Iiâ ","1987","Action|Comedy|Crime|Thriller","6.4"
"Carsâ ","2006","Adventure|Animation|Comedy|Family|Sport","7.2"
"The Proposalâ ","2009","Comedy|Drama|Romance","6.7"
"The King'S Speechâ ","2010","Biography|Drama|History|Romance","8"
"The Santa Clauseâ ","1994","Comedy|Drama|Family|Fantasy","6.4"
"The Hunger Games: Mockingjay - Part 2Â ","2015","Adventure|Sci-Fi","6.6"
"The Martianâ ","2015","Adventure|Drama|Sci-Fi","8.1"
"Takenâ ","2008","Action|Thriller","7.9"
"Harry Potter And The Prisoner Of Azkabanâ ","2004","Adventure|Family|Fantasy|Mystery","7.8"
"Sherlock Holmesâ ","2009","Action|Adventure|Crime|Mystery|Thriller","7.6"
"Knocked Upâ ","2007","Comedy|Romance","7"
"Madagascarâ ","2005","Adventure|Animation|Comedy|Family","6.9"
"Upâ ","2009","Adventure|Animation|Comedy|Family","8.3"
"Robin Hood: Prince Of Thievesâ ","1991","Action|Adventure|Drama|Romance","6.9"
"Ice Ageâ ","2002","Adventure|Animation|Comedy|Family","7.6"
"The Conjuringâ ","2013","Horror|Mystery|Thriller","7.5"
"Lincolnâ ","2012","Biography|Drama|History|War","7.4"
"The Bourne Ultimatumâ ","2007","Action|Mystery|Thriller","8.1"
"Blazing Saddlesâ ","1974","Comedy|Western","7.8"
"The Heatâ ","2013","Action|Comedy|Crime","6.6"
"The Firmâ ","1993","Drama|Mystery|Thriller","6.8"
"Rockyâ ","1976","Drama|Sport","8.1"
"Ice Age: The Meltdownâ ","2006","Action|Adventure|Animation|Comedy|Family|Fantasy","6.9"
"American Pie 2Â ","2001","Comedy","6.4"
"Gran Torinoâ ","2008","Drama","8.2"
"American Beautyâ ","1999","Drama","8.4"
"American Graffitiâ ","1973","Comedy|Drama|Music","7.5"
"We'Re The Millersâ ","2013","Comedy|Crime","7"
"Fahrenheit 9/11Â ","2004","Documentary|Drama|War","7.5"
"Crouching Tiger, Hidden Dragonâ ","2000","Action|Drama|Romance","7.9"
"The Fault In Our Starsâ ","2014","Drama|Romance","7.8"
"What Women Wantâ ","2000","Comedy|Fantasy|Romance","6.4"
"A Beautiful Mindâ ","2001","Biography|Drama","8.2"
"Catch Me If You Canâ ","2002","Biography|Crime|Drama","8"
"Iron Man 2Â ","2010","Action|Adventure|Sci-Fi","7"
"The Silence Of The Lambsâ ","1991","Crime|Drama|Horror|Thriller","8.6"
"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobeâ ","2005","Adventure|Family|Fantasy","6.9"
"Meet The Parentsâ ","2000","Comedy","7"
