"Title","Relased_Year","Genre ","IMDB_Rating"
"Lilo & Stitchâ ","2002","Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi","7.2"
"The Truman Showâ ","1998","Comedy|Drama|Sci-Fi","8.1"
"Deep Impactâ ","1998","Action|Drama|Romance|Sci-Fi|Thriller","6.1"
"Kindergarten Copâ ","1990","Action|Comedy|Crime","6"
"Let'S Be Copsâ ","2014","Comedy","6.5"
"Bridge To Terabithiaâ ","2007","Adventure|Drama|Family|Fantasy","7.2"
"Mystic Riverâ ","2003","Crime|Drama|Mystery|Thriller","8"
"Tammyâ ","2014","Comedy","4.9"
"Mission: Impossible - Ghost Protocolâ ","2011","Action|Adventure|Thriller","7.4"
"The Naked Gun 2Â½: The Smell Of Fearâ ","1991","Comedy|Crime","6.8"
"Hotel Transylvaniaâ ","2012","Animation|Comedy|Family|Fantasy","7.1"
"Barbershopâ ","2002","Comedy|Drama","6.3"
"Django Unchainedâ ","2012","Drama|Western","8.5"
"Flightâ ","2012","Drama|Thriller","7.3"
"The Descendantsâ ","2011","Comedy|Drama","7.3"
"The Purge: Anarchyâ ","2014","Action|Horror|Sci-Fi|Thriller","6.5"
"The Conjuring 2Â ","2016","Horror|Mystery|Thriller","7.8"
"Scary Movie 3Â ","2003","Comedy","5.5"
"Sherlock Holmes: A Game Of Shadowsâ ","2011","Action|Adventure|Crime|Mystery|Thriller","7.5"
"Miss Congenialityâ ","2000","Action|Comedy|Crime|Romance","6.2"
"Splashâ ","1984","Comedy|Fantasy|Romance","6.2"
"Chicken Runâ ","2000","Adventure|Animation|Comedy|Drama|Family","7"
"The Day After Tomorrowâ ","2004","Action|Adventure|Sci-Fi|Thriller","6.4"
"Armageddonâ ","1998","Action|Adventure|Sci-Fi|Thriller","6.6"
"The Bourne Identityâ ","2002","Action|Mystery|Thriller","7.9"
"The Purgeâ ","2013","Horror|Sci-Fi|Thriller","5.7"
"Maleficentâ ","2014","Action|Adventure|Family|Fantasy|Romance","7"
"Pineapple Expressâ ","2008","Action|Comedy|Crime","7"
"The Crying Gameâ ","1992","Crime|Drama|Romance|Thriller","7.3"
"Ace Ventura: Pet Detectiveâ ","1994","Comedy","6.9"
"Disturbiaâ ","2007","Drama|Mystery|Thriller","6.9"
"Disturbiaâ ","2007","Drama|Mystery|Thriller","6.9"
"Clear And Present Dangerâ ","1994","Action|Crime|Drama|Thriller","6.9"
"Justin Bieber: Never Say Neverâ ","2011","Documentary|Music","1.6"
"Private Benjaminâ ","1980","Comedy|War","6.1"
"Wantedâ ","2008","Action|Crime|Fantasy|Thriller","6.7"
"Sidewaysâ ","2004","Adventure|Comedy|Drama|Romance","7.5"
"Star Trek Iii: The Search For Spockâ ","1984","Action|Adventure|Sci-Fi","6.6"
"Jackass: The Movieâ ","2002","Comedy|Documentary","6.6"
"The Rockâ ","1996","Action|Adventure|Thriller","7.4"
"Up In The Airâ ","2009","Drama|Romance","7.4"
"Pearl Harborâ ","2001","Action|Drama|History|Romance|War","6.1"
"Valentine'S Dayâ ","2010","Comedy|Romance","5.7"
"Bring It Onâ ","2000","Comedy|Sport","5.9"
"Beetlejuiceâ ","1988","Comedy|Fantasy","7.5"
"Nutty Professor Ii: The Klumpsâ ","2000","Comedy|Romance|Sci-Fi","4.3"
"Anchorman: The Legend Of Ron Burgundyâ ","2004","Comedy","7.2"
"Alvin And The Chipmunks: Chipwreckedâ ","2011","Adventure|Animation|Comedy|Family|Fantasy|Music","4.4"
"Act Of Valorâ ","2012","Action|Adventure|Drama|Thriller|War","6.5"
"Big Hero 6Â ","2014","Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","7.9"
"Madea'S Family Reunionâ ","2006","Comedy|Drama|Romance","5"
"Blades Of Gloryâ ","2007","Comedy|Sport","6.3"
"The Pacifierâ ","2005","Action|Comedy|Drama|Family|Thriller","5.5"
"The Social Networkâ ","2010","Biography|Drama","7.7"
"10 Cloverfield Laneâ ","2016","Drama|Horror|Mystery|Sci-Fi|Thriller","7.3"
"Journey To The Center Of The Earthâ ","2008","Action|Adventure|Family|Fantasy|Sci-Fi","5.8"
"Charlie And The Chocolate Factoryâ ","2005","Adventure|Comedy|Family|Fantasy","6.7"
"Ransomâ ","1996","Crime|Thriller","6.6"
"Ratatouilleâ ","2007","Animation|Comedy|Family|Fantasy","8"
"Groundhog Dayâ ","1993","Comedy|Fantasy|Romance","8.1"
"Out Of Africaâ ","1985","Biography|Drama|Romance","7.2"
"Born On The Fourth Of Julyâ ","1989","Biography|Drama|War","7.2"
"How To Lose A Guy In 10 Daysâ ","2003","Comedy|Romance","6.4"
"The Pelican Briefâ ","1993","Crime|Drama|Mystery|Thriller","6.5"
"Zero Dark Thirtyâ ","2012","Drama|History|Thriller","7.4"
"The Rookieâ ","2002","Drama|Family|Sport","7"
"The Spongebob Squarepants Movieâ ","2004","Adventure|Animation|Comedy|Family|Fantasy","7"
"What Lies Beneathâ ","2000","Drama|Fantasy|Horror|Mystery|Thriller","6.6"
"Batman Beginsâ ","2005","Action|Adventure","8.3"
"I Know What You Did Last Summerâ ","1997","Horror|Mystery|Thriller","5.6"
"The Townâ ","2010","Crime|Drama|Thriller","7.6"
"The Princess Diaries 2: Royal Engagementâ ","2004","Comedy|Family|Romance","5.7"
"The Exorcism Of Emily Roseâ ","2005","Drama|Horror|Thriller","6.7"
"Cloverfieldâ ","2008","Action|Adventure|Horror|Sci-Fi","7"
"42Â ","2013","Biography|Drama|Sport","7.5"
"My Fair Ladyâ ","1964","Drama|Family|Musical|Romance","7.9"
"The Golden Childâ ","1986","Action|Adventure|Comedy|Fantasy|Mystery","5.9"
"Thunderballâ ","1965","Action|Adventure|Thriller","7"
"Total Recallâ ","1990","Action|Sci-Fi","7.5"
"Total Recallâ ","1990","Action|Sci-Fi","7.5"
"Superman Iiâ ","1980","Action|Adventure|Romance|Sci-Fi","6.8"
"The Villageâ ","2004","Drama|Mystery|Romance|Thriller","6.5"
"Julie & Juliaâ ","2009","Biography|Drama|Romance","7"
"Sawâ ","2004","Horror|Mystery|Thriller","7.7"
"He'S Just Not That Into Youâ ","2009","Comedy|Drama|Romance","6.4"
"Cool Runningsâ ","1993","Adventure|Comedy|Family|Sport","6.9"
"Grown Ups 2Â ","2013","Comedy","5.4"
"Teenage Mutant Ninja Turtles Ii: The Secret Of The Oozeâ ","1991","Action|Adventure|Comedy|Family|Sci-Fi","6"
"Rioâ ","2011","Adventure|Animation|Comedy|Family|Musical","7"
"Witnessâ ","1985","Crime|Drama|Romance|Thriller","7.4"
"The Best Man Holidayâ ","2013","Comedy|Drama","6.7"
"Die Hardâ ","1988","Action|Thriller","8.2"
"She'S All Thatâ ","1999","Comedy|Romance","5.8"
"Chariots Of Fireâ ","1981","Biography|Drama|Sport","7.2"
"Saw Ivâ ","2007","Horror|Mystery","5.9"
"Step Upâ ","2006","Crime|Drama|Music|Romance","6.5"
"Robotsâ ","2005","Adventure|Animation|Comedy|Family|Sci-Fi","6.3"
"Road Tripâ ","2000","Comedy","6.5"
"Chronicleâ ","2012","Drama|Sci-Fi|Thriller","7.1"
"Insidiousâ ","2010","Fantasy|Horror|Mystery|Thriller","6.8"
"How To Train Your Dragonâ ","2010","Adventure|Animation|Family|Fantasy","8.2"
"Mortal Kombatâ ","1995","Action|Adventure|Fantasy|Sci-Fi|Thriller","5.8"
"Braveâ ","2012","Adventure|Animation|Comedy|Family|Fantasy","7.2"
"Parental Guidanceâ ","2012","Comedy|Family","6.1"
"The Devil Insideâ ","2012","Horror","4.2"
"The Croodsâ ","2013","Adventure|Animation|Comedy|Family|Fantasy","7.3"
"Freddy Vs. Jasonâ ","2003","Action|Horror|Thriller","5.8"
"Captain Phillipsâ ","2013","Biography|Drama|Thriller","7.9"
"Zombielandâ ","2009","Adventure|Comedy|Horror|Sci-Fi","7.7"
"Harry Potter And The Half-Blood Princeâ ","2009","Adventure|Family|Fantasy|Mystery","7.5"
